,headline,cleaned headline,score,sentiment
441,"Jio Platforms, SES form JV to deliver satellite-based broadband services across India",jio platform se form jv deliv satellit base broadband servic across india,-0.8,Negative
442,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: Indian Oil, JSPL, Coal India and more",top stock tip sudarshan sukhani mitessh thakkar indian oil jspl coal india,0.5,Positive
443,"Key bond market deals: LIC Housing Finance, Birla Corp, Bajaj Finance",key bond market deal lic hous financ birla corp bajaj financ,0.0,Neutral
444,"Commodities round-up: Crude oil price at 7-year high, up 23% in 2022 so far",commod round crude oil price year high far,-0.15999999999999998,Negative
445,"MarketBuzz Podcast With Ekta Batra: Sensex, Nifty50 likely to make a gap-down start",marketbuzz podcast ekta batra sensex nifti like make gap start,0.0,Neutral
446,"Monday's top brokerage calls: ONGC, Apollo Hospitals, Divi's Lab, Persistent Systems and Muthoot Finance",monday top brokerag call ongc apollo hospit divi lab persist system muthoot financ,0.5,Positive
447,10 things you should know before opening bell on Feb 14,thing know open bell feb,0.0,Neutral
448,Trade setup for Feb 14: More downside likely in Nifty50? Check out key market cues before Monday’s session,trade setup feb downsid like nifti check key market cue monday session,0.0,Neutral
449,Oil prices rise to nearly 7-year highs on Russia-Ukraine tensions,oil price rise nearli year high russia ukrain tension,0.16,Positive
450,"Eicher Motors, ONGC, TVS Motor, SBI and more: Top stocks to watch out for on Feb 14",eicher motor ongc tv motor sbi top stock watch feb,0.5,Positive
451,"US stock markets closing: How S&P 500, Dow Jones, Nasdaq, Russell 2000 fared on Friday",us stock market close p dow jone nasdaq russel fare friday,0.0,Neutral
452,LIC IPO: How to download DRHP from SEBI website,lic ipo download drhp sebi websit,0.0,Neutral
453,LIC IPO | Key things to know about state-owned insurance behemoth,lic ipo key thing know state own insur behemoth,0.3,Positive
454,"LIC IPO: Life Insurance Corporation files DRHP; here's a SWOT (strength, weakness, opportunity, threat) analysis",lic ipo life insur corpor file drhp swot strength weak opportun threat analysi,-0.375,Negative
455,Planning to invest in LIC IPO? Know history of India's public sector insurance behemoth,plan invest lic ipo know histori india public sector insur behemoth,0.0,Neutral
456,LIC IPO: Where to find what in the 649-page DRHP document,lic ipo find page drhp document,0.0,Neutral
457,LIC IPO FAQs: Which policyholders can apply for shares and other questions answered,lic ipo faq policyhold appli share question answer,0.0,Neutral
458,LIC DRHP Highlights: Jeevan Bima Nigam files DRHP,lic drhp highlight jeevan bima nigam file drhp,0.0,Neutral
459,LIC IPO: Around 25% of Rs 39.6 trn assets under management in equities,lic ipo around rs trn asset manag equiti,0.0,Neutral
460,LIC IPO: Policyholders with lapsed policies can still apply for shares,lic ipo policyhold laps polici still appli share,0.0,Neutral
461,"Bottomline: Ukraine conflict-led Euro energy crisis, inflation can hurt markets",bottomlin ukrain conflict led euro energi crisi inflat hurt market,0.0,Neutral
462,"D-Street week ahead: Macro data, global cues, FII flows likely to impact market",street week ahead macro data global cue fii flow like impact market,0.0,Neutral
463,"Oil soars 3% to 7-year highs on Ukraine jitters, tight supplies",oil soar year high ukrain jitter tight suppli,-0.009285714285714286,Negative
464,Sebi directs DishTV to immediately disclose results of voting at December AGM,sebi direct dishtv immedi disclos result vote decemb agm,0.1,Positive
465,Nazara Technologies' profit after tax dips 17% to Rs 14.8 crore in December quarter,nazara technolog profit tax dip rs crore decemb quarter,0.0,Neutral
466,"Sebi bars Reliance Home Finance, Anil Ambani, 3 others from securities market",sebi bar relianc home financ anil ambani other secur market,-0.125,Negative
467,PB Fintech founder sells firm shares worth Rs 236 crore,pb fintech founder sell firm share worth rs crore,0.04999999999999999,Positive
468,"Yes Bank board approves seeking investors' nod for early redemption of bonds worth Rs 1,764 cr",ye bank board approv seek investor nod earli redempt bond worth rs cr,0.3,Positive
469,CNBC-TV18 Classroom: Types of Call and Put Options in market,cnbc tv classroom type call put option market,0.0,Neutral
470,No capital infusion needed in PSBs in FY22: Government officials,capit infus need psb fy govern offici,0.0,Neutral
471,"Sensex sheds 492 points for week, metal stocks shine; Solara Active tanks 35%",sensex shed point week metal stock shine solara activ tank,0.0,Neutral
472,Ashok Leyland Q3 results: Firm back in green with Rs 5.7 crore profit,ashok leyland q result firm back green rs crore profit,-0.13333333333333333,Negative
473,Sebi imposes Rs 30 lakh fine on 6 entities in illiquid stock options case,sebi impos rs lakh fine entiti illiquid stock option case,0.4166666666666667,Positive
474,"Voltas Q3 results: Net profit dips 24.9% YoY to Rs 96.6 crore, revenue down 10%; misses estimates",volta q result net profit dip yoy rs crore revenu miss estim,0.0,Neutral
475,BYJU's doubles target under 'Education For All' to 10 million underserved students,byju doubl target educ million underserv student,0.0,Neutral
476,"Taking Stock: Market expert Jai Bala is negative on Ashok Leyland, Havells",take stock market expert jai bala neg ashok leyland havel,0.0,Neutral
477,"LIC mega IPO: Board approves filing of DRHP, sources to CNBC-TV18",lic mega ipo board approv file drhp sourc cnbc tv,0.0,Neutral
478,Rupee slumps 24 paise to close at 75.39 against US dollar,rupe slump pais close us dollar,0.0,Neutral
479,Sharp falls in stocks wipe out Rs 3.91 lakh crore of investors' wealth on Friday,sharp fall stock wipe rs lakh crore investor wealth friday,-0.125,Negative
480,"Indigo Paints Q3 results: Net profit rises 30% YoY to Rs Rs 24.3 crore, revenue up 26.6% to Rs 265.4 crore",indigo paint q result net profit rise yoy rs rs crore revenu rs crore,0.0,Neutral
481,RBI chief refers to 'tulip mania' as he warns against crypto,rbi chief refer tulip mania warn crypto,0.0,Neutral
482,Smart Money: Experts discuss how to approach midcap tech,smart money expert discuss approach midcap tech,0.21428571428571427,Positive
483,"Should you buy, sell or hold Zomato shares now? Here's what brokerages say",buy sell hold zomato share brokerag say,0.0,Neutral
484,Hero MotoCorp shares off day's low,hero motocorp share day low,0.0,Neutral
485,"Divi's Labs Q3 Earnings: Profit jumps 92% to Rs 902 crore, beats Street estimates",divi lab q earn profit jump rs crore beat street estim,0.0,Neutral
486,Adani Wilmar shares retreat after premium over listing price reaches 90%,adani wilmar share retreat premium list price reach,0.0,Neutral
487,"Stock Market Highlights: Sensex ends 773 pts lower, Nifty below 17,400; TechM down 3%, Zomato 6%",stock market highlight sensex end pt lower nifti techm zomato,0.0,Neutral
488,Midcap IT stocks sulking on the back of valuation concerns,midcap stock sulk back valuat concern,0.0,Neutral
489,"Solara Active, Zomato and more: Key stocks that moved the most on Feb 11",solara activ zomato key stock move feb,0.0,Neutral
490,"Closing Bell: Sensex, Nifty50 tumble as US CPI spooks global markets; Zomato drops 6%",close bell sensex nifti tumbl us cpi spook global market zomato drop,0.0,Neutral
491,"Your Stocks: Happiest Minds, Route, BHEL in focus; here’s what experts say",stock happiest mind rout bhel focu expert say,0.0,Neutral
492,"LIC IPO: Insurer's board meet to consider IPO proposal concludes, say sources",lic ipo insur board meet consid ipo propos conclud say sourc,0.0,Neutral
493,Expect crude to test $100/barrel in current quarter: Fat Prophets,expect crude test barrel current quarter fat prophet,-0.35,Negative
494,LIC IPO: 10 things you should know before the public issue hits market,lic ipo thing know public issu hit market,0.0,Neutral
495,Rubber price hits 32-week high,rubber price hit week high,0.16,Positive
496,PolicyBazaar shares ebb amid block deal,policybazaar share ebb amid block deal,0.0,Neutral
497,Moneycontrol Pro: ABFRL in focus,moneycontrol pro abfrl focu,0.0,Neutral
498,Thums Up now a billion dollar brand in India: Coca Cola,thum billion dollar brand india coca cola,0.0,Neutral
499,Quess Corp shares rise 9%,quess corp share rise,0.0,Neutral
500,"""When US sneezes, world catches a cold..."": Why Uday Kotak fears another 'taper tantrum'",us sneez world catch cold uday kotak fear anoth taper tantrum,-0.6,Negative
501,"Loan growth assumptions are quite benign, says Kotak Equities’ MB Mahesh",loan growth assumpt quit benign say kotak equiti mb mahesh,0.0,Neutral
502,Mahindra and Mahindra in focus after 57% surge in Q3 profit,mahindra mahindra focu surg q profit,0.0,Neutral
503,Piramal Pharma to list in Q3FY23,piram pharma list q fy,0.0,Neutral
504,Solara Active Pharma worst performer on Nifty500,solara activ pharma worst perform nifti,-1.0,Negative
505,Will focus more on growth normalisation than inflation risks: Standard Chartered’s Abhilash Narayan,focu growth normalis inflat risk standard charter abhilash narayan,0.0,Neutral
506,"Opening Bell: Sensex, Nifty fall on weak global cues; Zomato, PB Fintech tumble 6%",open bell sensex nifti fall weak global cue zomato pb fintech tumbl,-0.125,Negative
507,"Top stock tips by Shrikant Chouhan, Mitessh Thakkar: Tata Steel, JSPL, Federal Bank and more",top stock tip shrikant chouhan mitessh thakkar tata steel jspl feder bank,0.5,Positive
508,"Commodities round-up: Metals surge, LME hits all-time high",commod round metal surg lme hit time high,-0.020000000000000004,Negative
509,"MarketBuzz Podcast With Reema Tendulkar: Sensex, Nifty likely to make gap-down start; US CPI spooks global markets",marketbuzz podcast reema tendulkar sensex nifti like make gap start us cpi spook global market,0.0,Neutral
510,Here's a look at top buzzing stocks for trade on Feb 11,look top buzz stock trade feb,0.5,Positive
511,"Friday's top brokerage calls: NMDC, Zomato, Cummins, M&M and ABB",friday top brokerag call nmdc zomato cummin abb,0.5,Positive
512,10 things you should know before opening bell on Feb 11,thing know open bell feb,0.0,Neutral
513,Trade setup for Feb 11: Can Nifty hold on to recent gains? Check out key market cues before Friday’s session,trade setup feb nifti hold recent gain check key market cue friday session,0.0,Neutral
514,"Hero MotoCorp, Dr Reddy's, Zomato, Ashok Leyland and more: Top stocks to watch out for on Feb 11",hero motocorp dr reddi zomato ashok leyland top stock watch feb,0.5,Positive
515,Vedant Fashions IPO: Share allotment likely today,vedant fashion ipo share allot like today,0.0,Neutral
516,Wall Street falls as report shows US inflation still red hot,wall street fall report show us inflat still red hot,0.125,Positive
517,CNBC-TV18 Classroom: Here's all you need to know about Call and Put Options,cnbc tv classroom need know call put option,0.0,Neutral
518,"Adani Wilmar's market capitalisation crosses Rs 50,000 crore on NSE",adani wilmar market capitalis cross rs crore nse,0.0,Neutral
519,"News Wrap Feb 10: RBI keeps repo rate, reverse repo rate unchanged; UP voter turnout at 60%; US inflation at 40-year high and more",news wrap feb rbi keep repo rate revers repo rate unchang voter turnout us inflat year high,0.16,Positive
520,Q3 earnings report card: Here's how the pharma sector performed,q earn report card pharma sector perform,0.0,Neutral
521,RBI keeps key policy rates unchanged,rbi keep key polici rate unchang,0.0,Neutral
522,Top News Podcast: RBI warns crypto investors,top news podcast rbi warn crypto investor,0.5,Positive
523,Ex-Morgan Stanley strategist Ruchir Sharma to join Rockefeller International as chairman,ex morgan stanley strategist ruchir sharma join rockefel intern chairman,0.0,Neutral
524,"Zomato Q3 results: Firm posts net loss of Rs 63.2 crore, revenue up 82.5% to Rs 1,112 crore",zomato q result firm post net loss rs crore revenu rs crore,-0.1,Negative
525,Ola eyes NBFC acquisition to expand financial services business,ola eye nbfc acquisit expand financi servic busi,0.0,Neutral
526,Rupee slips 10 paise to close at 74.94 against US dollar post RBI Policy,rupe slip pais close us dollar post rbi polici,0.0,Neutral
527,"MRF Q3 Earnings: Profit falls 71% to Rs 149 crore, revenue up 6%",mrf q earn profit fall rs crore revenu,0.0,Neutral
528,"Solara Active, Page Industries, NDTV and more: Key stocks that moved the most on Feb 10",solara activ page industri ndtv key stock move feb,0.0,Neutral
529,"Ace investor Rakesh Jhunjhunwala, others to pick up stake in DB Realty",ace investor rakesh jhunjhunwala other pick stake db realti,-0.125,Negative
530,"Stock Market Highlights: Sensex ends 460 pts higher, Nifty50 reclaims 17,600 as market cheers RBI policy; Solara Active plunges",stock market highlight sensex end pt higher nifti reclaim market cheer rbi polici solara activ plung,0.25,Positive
531,"Bharat Forge Q3 results: Net profit jumps 264% to Rs 337 crore, beats Street estimates",bharat forg q result net profit jump rs crore beat street estim,0.0,Neutral
532,Will Rakesh Jhunjhunwala be third time lucky in DB Realty?,rakesh jhunjhunwala third time lucki db realti,0.0,Neutral
533,"M&M Q3 Earnings: Profit up 27.5% at Rs 1,798 crore, beats Street estimates; margin down at 11.8%",q earn profit rs crore beat street estim margin,0.0,Neutral
534,"Should you buy, sell or hold Nykaa shares after Q3 results? Here's what brokerages recommend",buy sell hold nykaa share q result brokerag recommend,0.0,Neutral
535,How rate-sensitive stocks fared after RBI status quo,rate sensit stock fare rbi statu quo,0.0,Neutral
536,Solara Active Pharma Sciences shares nosedive,solara activ pharma scienc share nosed,0.0,Neutral
537,"Dr Lal PathLabs Q3 results: Net profit dips 39.3% YoY to Rs 58.2 crore, revenue up 10% to Rs 497 crore",dr lal pathlab q result net profit dip yoy rs crore revenu rs crore,0.0,Neutral
538,"Closing Bell: Sensex, Nifty50 extend gains to 3rd day after RBI's dovish policy",close bell sensex nifti extend gain rd day rbi dovish polici,0.0,Neutral
539,"MF Corner: Experts answer viewer queries on mutual funds, ETFs",mf corner expert answer viewer queri mutual fund etf,0.0,Neutral
540,"Gujarat Alkalies Q3 revenue rises by 65%, margins grow 34%",gujarat alkali q revenu rise margin grow,0.0,Neutral
541,"Rural demand will take time to return; bullish on TCS, L&T Tech: Saurabh Mukherjee",rural demand take time return bullish tc l tech saurabh mukherje,0.0,Neutral
542,RBI keeps key policy rates unchanged,rbi keep key polici rate unchang,0.0,Neutral
543,RBI Policy: Shaktikanta Das announces 4 steps as central bank moves to rebalance liquidity,rbi polici shaktikanta da announc step central bank move rebal liquid,0.0,Neutral
544,RBI Policy | RBI raises cap for e-Rupee voucher,rbi polici rbi rais cap e rupe voucher,0.0,Neutral
545,EXCLUSIVE: LIC likely to file DRHP with Sebi on Feb 11,exclus lic like file drhp sebi feb,0.0,Neutral
546,"Opening Bell: Sensex opens on positive note ahead of RBI policy outcome, Nifty above 17,500",open bell sensex open posit note ahead rbi polici outcom nifti,0.0,Neutral
547,Tata Power shares gain 2% post Q3 results,tata power share gain post q result,0.0,Neutral
548,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: Indian Oil, PVR, Cholamandalam Investment and more",top stock tip sudarshan sukhani mitessh thakkar indian oil pvr cholamandalam invest,0.5,Positive
549,"MarketBuzz Podcast With Reema Tendulkar: Sensex, Nifty50 likely to open higher ahead of RBI policy statement",marketbuzz podcast reema tendulkar sensex nifti like open higher ahead rbi polici statement,0.125,Positive
550,Here's a look at top buzzing stocks for trade on Feb 10,look top buzz stock trade feb,0.5,Positive
551,"Commodities round-up: Metal prices firm, copper at 4-week high",commod round metal price firm copper week high,-0.08,Negative
552,"Thursday's top brokerage calls: ACC, Tata Power, Nykaa and Indiabulls Housing",thursday top brokerag call acc tata power nykaa indiabul hous,0.5,Positive
553,10 things to know before opening bell on Feb 10,thing know open bell feb,0.0,Neutral
554,Oil prices steady as investors eye US-Iran nuclear talks,oil price steadi investor eye us iran nuclear talk,0.0,Neutral
555,"Trade setup for Feb 10: Will Nifty50 take out 17,500 soon? Check out key market cues before Thursday’s session",trade setup feb nifti take soon check key market cue thursday session,0.0,Neutral
556,"Hero MotoCorp, Tata Power, M&M, Nykaa, Berger Paints and more: Top stocks to watch out for on Feb 10",hero motocorp tata power nykaa berger paint top stock watch feb,0.5,Positive
557,"US stock markets closing: How S&P 500, Dow Jones, Nasdaq, Russell 2000 fared on Wednesday",us stock market close p dow jone nasdaq russel fare wednesday,0.0,Neutral
558,"SAIL Q3 results: Net profit rises 3.8% YoY to Rs 1,525.5 crore, revenue surges 27.3%; misses estimates",sail q result net profit rise yoy rs crore revenu surg miss estim,0.0,Neutral
559,Non-power sector companies hit by coal supply shortages,non power sector compani hit coal suppli shortag,0.0,Neutral
560,News wrap Feb 9: RBI likely to hike reverse repo rate,news wrap feb rbi like hike revers repo rate,0.0,Neutral
561,Sebi puts in place framework for conversion of private listed InvITs,sebi put place framework convers privat list invit,0.0,Neutral
562,Top News Podcast | Karnataka hijab row case sent to Chief Justice,top news podcast karnataka hijab row case sent chief justic,0.5,Positive
563,"Large TVS land bank for sale on Chennai's Mount Road, talks on with developer from Bengaluru",larg tv land bank sale chennai mount road talk develop bengaluru,0.0,Neutral
564,Hindalco Q3FY22 earnings preview: Street expects 49% revenue growth,hindalco q fy earn preview street expect revenu growth,0.0,Neutral
565,"Aurobindo Pharma Q3 results: Net profit dips 79.5% YoY to Rs 604.2 crore, misses estimates",aurobindo pharma q result net profit dip yoy rs crore miss estim,0.0,Neutral
566,"Tata Power Q3 results: Net profit zooms 73% YoY to Rs 551.8 crore, revenue surges 43.6%; beats estimates",tata power q result net profit zoom yoy rs crore revenu surg beat estim,0.0,Neutral
567,"Power Grid Q3 results: Net profit declines 2.2% to Rs 3,292.9 crore, misses estimates",power grid q result net profit declin rs crore miss estim,0.0,Neutral
568,View: Expect rupee to stay within 74.50-75.80 range in near term,view expect rupe stay within rang near term,0.1,Positive
569,"Adani Wilmar shares surge, premium over issue price reaches 38%",adani wilmar share surg premium issu price reach,0.0,Neutral
570,"Should you buy, sell or hold Bharti Airtel shares now? What brokerages say",buy sell hold bharti airtel share brokerag say,0.0,Neutral
571,Explained: City gas distribution shares under pressure,explain citi ga distribut share pressur,0.0,Neutral
572,Mahindra & Mahindra Q3 preview: Street expects revenue up by 8.50%,mahindra mahindra q preview street expect revenu,0.0,Neutral
573,"Closing Bell: Sensex up over 650 points, Nifty reclaims 17,450 as market extends gains to 2nd day",close bell sensex point nifti reclaim market extend gain nd day,0.0,Neutral
574,Rupee slips 5 paise to close at 74.79 against US dollar,rupe slip pais close us dollar,0.0,Neutral
575,"Equity mutual funds log Rs 14,888 cr net inflow in January",equiti mutual fund log rs cr net inflow januari,0.0,Neutral
576,"Coal India, Adani Wilmar, Spandana Sphoorty and more: Key stocks that moved the most on Feb 9",coal india adani wilmar spandana sphoorti key stock move feb,0.0,Neutral
577,"Stock Market Highlights: Sensex ends 657 pts higher, Nifty reclaims 17,450; Maruti up 4%, Adani Wilmar surges 20%",stock market highlight sensex end pt higher nifti reclaim maruti adani wilmar surg,0.25,Positive
578,"No plan to merge Vedanta Resources with Vedanta, says Anil Agarwal; delisting not on the cards",plan merg vedanta resourc vedanta say anil agarw delist not card,0.0,Neutral
579,View: Tug of war in the markets,view tug war market,0.0,Neutral
580,LIC loses business share ahead of IPO,lic lose busi share ahead ipo,0.0,Neutral
581,Palm oil prices hit all-time high,palm oil price hit time high,0.16,Positive
582,"TVS Supply Chain to raise up to Rs 5,000 cr via IPO, to file DHRP this week: Report",tv suppli chain rais rs cr via ipo file dhrp week report,0.0,Neutral
583,"Risk of larger move in market higher this year; bullish on banks, autos: JPMorgan",risk larger move market higher year bullish bank auto jpmorgan,0.125,Positive
584,RBI monetary policy: Reverse repo hike on the cards,rbi monetari polici revers repo hike card,0.0,Neutral
585,"Indraprastha Gas stock hits 52-week-low post Q3 results; should you buy, sell or hold IGL shares?",indraprastha ga stock hit week low post q result buy sell hold igl share,0.0,Neutral
586,EVs to be 33-40% of overall biz from 23-24% currently: JBM Auto,ev overal biz current jbm auto,0.0,Neutral
587,Endurance Technologies worst hit on Nifty500,endur technolog worst hit nifti,-1.0,Negative
588,"J Kumar Infra bids for Agra, Kanpur and Chennai metro projects; management spells road ahead",j kumar infra bid agra kanpur chennai metro project manag spell road ahead,0.0,Neutral
589,"Opening Bell: Sensex gains over 350 points, Nifty above 17,400 on positive global cues; RBI decision in focus",open bell sensex gain point nifti posit global cue rbi decis focu,0.0,Neutral
590,Godrej Consumer wipes early gains post Q3 results,godrej consum wipe earli gain post q result,0.0,Neutral
591,"Fed raising rates by 50 bps will be a proactive move, expect 25 bps hike: Port Shelter Investment",fed rais rate bp proactiv move expect bp hike port shelter invest,0.0,Neutral
592,IRCTC up over 3%,irctc,0.0,Neutral
593,"Asian stock markets rise on Wall Street tech rally, US yields near multi-year highs",asian stock market rise wall street tech ralli us yield near multi year high,0.08666666666666667,Positive
594,"Key bond market deals: Godrej Agrovet, Godrej Industries, Jindal Stainless",key bond market deal godrej agrovet godrej industri jindal stainless,0.1,Positive
595,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: Sun Pharma, Tata Steel, Cipla and more",top stock tip sudarshan sukhani mitessh thakkar sun pharma tata steel cipla,0.5,Positive
596,Valkyrie bitcoin mining ETF to list on Nasdaq,valkyri bitcoin mine etf list nasdaq,0.0,Neutral
597,Here's a look at top buzzing stocks for trade on Feb 9,look top buzz stock trade feb,0.5,Positive
598,Commodities round-up: Decline in crude oil price for second straight day,commod round declin crude oil price second straight day,-0.175,Negative
599,"Wednesday's top brokerage calls: Bharti Airtel, Vedanta, Indraprastha Gas and Gujarat Gas",wednesday top brokerag call bharti airtel vedanta indraprastha ga gujarat ga,0.5,Positive
600,"MarketBuzz Podcast With Reema Tendulkar: Sensex, Nifty50 likely to open higher today; Bharti Airtel, IRCTC in focus",marketbuzz podcast reema tendulkar sensex nifti like open higher today bharti airtel irctc focu,0.125,Positive
601,Dollar hits one-month high to yen as US yields rise,dollar hit one month high yen us yield rise,0.16,Positive
602,Oil prices rise after API data shows surprise fall in US fuel stocks,oil price rise api data show surpris fall us fuel stock,0.0,Neutral
603,"Trade setup for Feb 9: Can Nifty50 cross the 17,350 hurdle? Check out key market cues before Wednesday’s session",trade setup feb nifti cross hurdl check key market cue wednesday session,0.0,Neutral
604,Gold prices near 2-week high as inflation risks lift safe-haven appeal,gold price near week high inflat risk lift safe appeal,0.25333333333333335,Positive
605,"Bharti Airtel, Vedanta, IRCTC, Nykaa, Tata Power and more: Top stocks to watch out for on Feb 9",bharti airtel vedanta irctc nykaa tata power top stock watch feb,0.5,Positive
606,"US stock markets closing: How S&P 500, Dow Jones, Nasdaq, Russell 2000 fared on Tuesday",us stock market close p dow jone nasdaq russel fare tuesday,0.0,Neutral
607,"Inox Green Energy Services files DRHP for IPO with Sebi, issue size of Rs 740 crore",inox green energi servic file drhp ipo sebi issu size rs crore,-0.2,Negative
608,"NMDC Q3 profit drops marginally to Rs 2,048 cr",nmdc q profit drop margin rs cr,0.0,Neutral
609,Livspace turns unicorn with $180 million Series F round led by KKR Singapore,livspac turn unicorn million seri f round led kkr singapor,-0.2,Negative
610,News wrap Feb 8: Bharti Airtel Q3 net profit down 27%,news wrap feb bharti airtel q net profit,0.0,Neutral
611,"Top News Podcast | Yogi-Kejriwal Twitter spat, Karnataka schools closed over hijab row to Adani Wilmar’s strong market debut",top news podcast yogi kejriw twitter spat karnataka school close hijab row adani wilmar strong market debut,0.4666666666666667,Positive
612,Crypto tax: Experts decode India's crypto stance,crypto tax expert decod india crypto stanc,0.0,Neutral
613,Gold demand in India to be driven by physical buying: World Gold Council,gold demand india driven physic buy world gold council,0.0,Neutral
614,"Stock Market Highlights: Sensex ends 187 pts higher, Nifty holds 17,200; Tata Steel up 3%, Bajaj twins 2%",stock market highlight sensex end pt higher nifti hold tata steel bajaj twin,0.25,Positive
615,Rupee slips 5 paise to close at 74.74 against US dollar,rupe slip pais close us dollar,0.0,Neutral
616,Petronet LNG Q3FY22 preview: Street estimates revenue decline of 3%,petronet lng q fy preview street estim revenu declin,0.0,Neutral
617,"Bharti Airtel Q3 Earnings: Net profit down 27% at Rs 830 crore, misses Street estimates; ARPU at Rs 163",bharti airtel q earn net profit rs crore miss street estim arpu rs,0.0,Neutral
618,"Adani Wilmar shares make a decent debut on BSE, NSE",adani wilmar share make decent debut bse nse,0.16666666666666666,Positive
619,"Should you buy, hold or sell TVS Motor Company shares now? Here's what brokerages say",buy hold sell tv motor compani share brokerag say,0.0,Neutral
620,Adani Wilmar ends listing day at 16% premium over issue price,adani wilmar end list day premium issu price,0.0,Neutral
621,Vedant Fashions IPO subscribed 2.6 times on final day,vedant fashion ipo subscrib time final day,0.0,Neutral
622,"Closing Bell: Sensex, Nifty snap 3-day losing streak, end higher in volatile trading",close bell sensex nifti snap day lose streak end higher volatil trade,0.25,Positive
623,"Adani Wilmar, Goa Carbon and more: Key stocks that moved the most on Feb 8",adani wilmar goa carbon key stock move feb,0.0,Neutral
624,MF Corner: Experts decode advantages of smart beta funds and silver ETFs,mf corner expert decod advantag smart beta fund silver etf,0.21428571428571427,Positive
625,Adani Wilmar to repay entire debt post IPO,adani wilmar repay entir debt post ipo,0.0,Neutral
626,"Export growth decent, medical devices growth stabilised: Morepen Labs",export growth decent medic devic growth stabilis morepen lab,0.16666666666666666,Positive
627,"Pfizer shares jump 3.5%, Laurus Labs slips 3%; why pharma stocks are trading mixed",pfizer share jump lauru lab slip pharma stock trade mix,0.0,Neutral
628,Centre cancels weekly auction of government bonds,centr cancel weekli auction govern bond,0.0,Neutral
629,Will watch how smoothly RBI is able to borrow: UTI MF,watch smoothli rbi abl borrow uti mf,0.0,Neutral
630,Bharti Airtel shares erase initial gains ahead of Q3 earnings,bharti airtel share eras initi gain ahead q earn,0.0,Neutral
631,Industrial metals firm,industri metal firm,-0.2,Negative
632,View: 5 things good portfolio managers do differently,view thing good portfolio manag differ,0.7,Positive
633,Don’t indulge in bottom fishing in tech stocks: Goldilocks’ Gautam Shah,indulg bottom fish tech stock goldilock gautam shah,0.0,Neutral
634,Moneycontro Pro: Ramkrishna Forgings posts over 50% jump in Q3 earnings,moneycontro pro ramkrishna forg post jump q earn,0.0,Neutral
635,Wockhardt shares gain 5%,wockhardt share gain,0.0,Neutral
636,"Prefer largecap banks, like Cholamandalam in NBFCs: HDFC Securities' Krishnan ASV",prefer largecap bank like cholamandalam nbfc hdfc secur krishnan asv,0.0,Neutral
637,"Opening Bell: Sensex opens 200 points up, Nifty nears 17,300 amid mixed global cues",open bell sensex open point nifti near amid mix global cue,0.025,Positive
638,"Asian stocks, euro hold steady ahead of US inflation data",asian stock euro hold steadi ahead us inflat data,0.0,Neutral
639,"Top stock tips by Sudarshan Sukhani, Mitessh Thakkar: ONGC, Dalmia Bharat and more",top stock tip sudarshan sukhani mitessh thakkar ongc dalmia bharat,0.5,Positive
640,"MarketBuzz Podcast With Reema Tendulkar: Sensex, Nifty50 likely to make a positive start; Bharti Airtel in focus",marketbuzz podcast reema tendulkar sensex nifti like make posit start bharti airtel focu,0.0,Neutral
641,Here's a look at top buzzing stocks for trade on Feb 8,look top buzz stock trade feb,0.5,Positive
642,10 things you should know before opening bell on Feb 8,thing know open bell feb,0.0,Neutral
643,Oil prices ease from 7-year highs ahead of US-Iran talks resumption,oil price eas year high ahead us iran talk resumpt,0.16,Positive
644,Commodities round-up: Crude oil price eases after hitting $94/bbl,commod round crude oil price eas hit bbl,-0.44999999999999996,Negative
645,"Tuesday's top brokerage calls: TVS Motor, Tata Steel and CreditAccess Grameen",tuesday top brokerag call tv motor tata steel creditaccess grameen,0.5,Positive
646,"Adani Wilmar shares to debut on BSE, NSE today; here's what GMP suggests",adani wilmar share debut bse nse today gmp suggest,0.0,Neutral
647,"Closing prices for crude oil, gold and other commodities",close price crude oil gold commod,-0.7,Negative
648,Trade setup for Feb 8: Nifty50 poised for a pullback? Check out key market cues before Tuesday’s session,trade setup feb nifti pois pullback check key market cue tuesday session,0.0,Neutral
649,Gold prices steady near 1-week high as inflation risks lift demand,gold price steadi near week high inflat risk lift demand,0.13,Positive
650,"Adani Wilmar, Bharti Airtel, IRCTC, TVS Motor and more: Top stocks to watch out for on Feb 8",adani wilmar bharti airtel irctc tv motor top stock watch feb,0.5,Positive
651,"US stock markets closing: How S&P 500, Dow Jones, Nasdaq, Russell 2000 fared on Monday",us stock market close p dow jone nasdaq russel fare monday,0.0,Neutral
652,"Dabur accelerates new digital-first launches; bets big on superfoods, ready-to-cook category",dabur acceler new digit first launch bet big superfood readi cook categori,0.12878787878787878,Positive
653,Ashneer Grover controversy won't impact PMC bank merger: RBI Sources,ashneer grover controversi impact pmc bank merger rbi sourc,0.0,Neutral
654,Tesla receives subpoena from US SEC over 2018 settlement,tesla receiv subpoena us sec settlement,-0.1,Negative
655,BharatPe to take corrective measures to boost corporate governance post Ashneer Grover controversy,bharatp take correct measur boost corpor govern post ashneer grover controversi,0.0,Neutral
